학교명,학생수,학급명,참여시간,대상,1교시,2교시,3교시,4교시,5교시,6교시,7교시,8교시,,,
궁남초,1,1학년(수정),오전,초1,기초관 - 3실,엄마사랑 분식 천국,미래관 - 7실,중점관 - 2실,,,,,,,
궁남초,5,3-1반 1팀,오전,초3,기초관 - 4실, 놀이터 - 5실,기초관 - 6실,온수업관 - 6실,,,,,,,
궁남초,5,궁남3-2팀,오전,초3,놀이터 - 1실, 놀이터 - 7실,엄마사랑 분식 천국,미래관 - 2실,,,,,,,
궁남초,5,궁남3-3팀,오전,초3,놀이터 - 4실,엄마사랑 분식 천국,미래관 - 3실,온수업관 - 6실,,,,,,,
궁남초등학교,4,2-1반,오전,초2,기초관 - 6실,기초관 - 5실,미래관 - 7실,엄마사랑 분식 천국,,,,,,,
궁남초병설유치원,3,사랑반-1,오전,유치원,놀이터 - 3실,행복관 - 1실,기초관 - 6실,엄마사랑 분식 천국,,,,,,,
궁남초병설유치원,3,사랑반-2,오전,유치원,놀이터 - 3실,행복관 - 1실,중점관 - 2실,엄마사랑 분식 천국,,,,,,,
규암초,5,1반-1팀,오전,초3,놀이터 - 2실,미래관 - 7실,기초관 - 4실,행복관 - 1실,,,,,,,
규암초,5,1반-2팀,오전,초3,행복관 - 3실,미래관 - 1실,기초관 - 3실,엄마사랑 분식 천국,,,,,,,
규암초,5,1반-3팀,오전,초3,기초관 - 2실,미래관 - 7실,행복관 - 2실,놀이터 - 6실,,,,,,,
규암초,4,1반-4팀,오전,초3,행복관 - 3실,행복관 - 4실,온수업관 - 3실,중점관 - 4실,,,,,,,
규암초,4,3반-1,오전,초3,미래관 - 2실,엄마사랑 분식 천국,행복관 - 3실,중점관 - 3실,,,,,,,
규암초,4,3반-2,오전,초3,미래관 - 2실,중점관 - 4실,엄마사랑 분식 천국,행복관 - 1실,,,,,,,
규암초,4,3반-3,오전,초3,미래관 - 7실,중점관 - 4실,행복관 - 3실,온수업관 - 1실,,,,,,,
규암초,4,3반-4,오전,초3,미래관 - 1실,행복관 - 5실,기초관 - 1실,엄마사랑 분식 천국,,,,,,,
규암초,4,3반-5,오전,초3,미래관 - 1실,행복관 - 5실,중점관 - 4실,엄마사랑 분식 천국,,,,,,,
규암초,4,2반-3,오전,초3,기초관 - 3실,놀이터 - 8실,온수업관 - 6실,중점관 - 4실,,,,,,,
규암초,4,2반-4,오전,초3,기초관 - 2실,놀이터 - 3실,중점관 - 3실,엄마사랑 분식 천국,,,,,,,
규암초,4,2반-5,오전,초3,놀이터 - 5실,놀이터 - 3실,기초관 - 2실,엄마사랑 분식 천국,,,,,,,
규암초,4,2반-2,오전,초3,놀이터 - 4실,기초관 - 1실,중점관 - 4실,온수업관 - 1실,,,,,,,
규암초등학교,4,2반-1,오전,초3,놀이터 - 5실,기초관 - 1실,온수업관 - 3실,엄마사랑 분식 천국,,,,,,,
규암초병설유치원,5,열매반1,오전,유치원,엄마사랑 분식 천국,행복관 - 3실,놀이터 - 2실,온수업관 - 2실,,,,,,,
규암초병설유치원,5,열매반2,오전,유치원,기초관 - 6실,온수업관 - 2실,미래관 - 7실,엄마사랑 분식 천국,,,,,,,
규암초병설유치원,5,열매반3,오전,유치원,온수업관 - 2실,행복관 - 3실,놀이터 - 4실,엄마사랑 분식 천국,,,,,,,
백강초,5,3학년-1팀,오전,초3,엄마사랑 분식 천국,놀이터 - 3실,온수업관 - 6실,중점관 - 3실,,,,,,,
백강초,5,56학년-1,오전,초6,놀이터 - 6실,놀이터 - 2실,엄마사랑 분식 천국,놀이터 - 5실,,,,,,,
백강초,4,56학년-2,오전,초6,행복관 - 4실,놀이터 - 5실,놀이터 - 7실,엄마사랑 분식 천국,,,,,,,
백강초,3,56학년-3,오전,초6,행복관 - 3실,미래관 - 1실,기초관 - 3실,엄마사랑 분식 천국,,,,,,,
백강초,5,4학년 1반-1,오전,초4,엄마사랑 분식 천국,놀이터 - 4실,놀이터 - 8실,기초관 - 2실,,,,,,,
백강초,5,4학년 1반-2,오전,초4,엄마사랑 분식 천국,놀이터 - 4실,놀이터 - 6실,기초관 - 4실,,,,,,,
백제중학교,5,1반-6팀,오후,중2,,,,,미래관 - 1실,온수업관 - 4실,기초관 - 5실,놀이터 - 5실,,,
백제중학교,5,2반-6팀,오후,중2,,,,,엄마사랑 분식 천국,온수업관 - 6실,놀이터 - 3실,미래관 - 4실,,,
백제중학교,5,3반-6팀,오후,중2,,,,,행복관 - 1실,놀이터 - 8실,온수업관 - 4실,기초관 - 5,,,
백제초,5,3학년-1,오전,초3,기초관 - 5실,미래관 - 3실,엄마사랑 분식 천국,x,,,,,,,
백제초,5,3학년-2,오전,초3,온수업관 - 1실,기초관 - 5실,엄마사랑 분식 천국,x,,,,,,,
백제초,3,여자1,오후,초5,,,,,놀이터 - 3실,기초관 - 3실,x,x,,,
백제초,3,여자2,오후,초5,,,,,놀이터 - 4실,기초관 - 3실,x,x,,,
백제초,4,남자1,오후,초5,,,,,미래관 - 4실,놀이터 - 4실,x,x,,,
백제초,4,남자2,오후,초5,,,,,미래관 - 4실,놀이터 - 4실,x,x,,,
백제초,4,남자3,오후,초5,,,,,놀이터 - 4실,미래관 - 4실,x,x,,,
백제초,5,1-1,오전,초1,엄마사랑 분식 천국,기초관 - 6실,놀이터 - 8실,x,,,,,,,
백제초,2,1-2,오전,초1,엄마사랑 분식 천국,기초관 - 6실,놀이터 - 8실,x,,,,,,,
백제초,5,2학년 1반-1,오전,초2,엄마사랑 분식 천국,온수업관 - 3실,놀이터 - 7실,x,,,,,,,
백제초,4,2학년 1반-2,오전,초2,엄마사랑 분식 천국,온수업관 - 3실,놀이터 - 8실,x,,,,,,,
백제초,3,남자1,오후,초4,,,,,놀이터 - 4실,미래관 - 4실,x,x,,,
백제초,4,여자1,오후,초4,,,,,미래관 - 7실,놀이터 - 3실,x,x,,,
백제초,4,여자2,오후,초4,,,,,엄마사랑 분식 천국,놀이터 - 3실,x,x,,,
백제초,4,1팀,,초6,엄마사랑 분식 천국,놀이터 - 7실,미래관 - 6실,x,,,,,,,
백제초,4,2팀,,초6,엄마사랑 분식 천국,놀이터 - 8실,미래관 - 6실,x,,,,,,,
백제초,4,3팀,,초6,엄마사랑 분식 천국,기초관 - 2실,온수업관 - 6실,x,,,,,,,
백제초,4,4팀,,초6,엄마사랑 분식 천국,기초관 - 2실,온수업관 - 6실,x,,,,,,,
백제초,3,5팀,,초6,엄마사랑 분식 천국,놀이터 - 1실,기초관 - 4실,x,,,,,,,
부여여자중학교,5,3반-1,오전,중1,행복관 - 6실,미래관 - 4실,행복관 - 1실,엄마사랑 분식 천국,,,,,,,
부여여자중학교,5,3반-2,오전,중1,미래관 - 3실,행복관 - 6실,온수업관 - 1실,엄마사랑 분식 천국,,,,,,,
부여여자중학교,5,3반-3,오전,중1,중점관 - 4실,놀이터 - 1실,행복관 - 6실,엄마사랑 분식 천국,,,,,,,
부여여자중학교,5,3반-4,오전,중1,행복관 - 6실,기초관 - 4실,미래관 - 5실,엄마사랑 분식 천국,,,,,,,
부여여자중학교,5,3반-5,오전,중1,온수업관 - 4실,엄마사랑 분식 천국,행복관 - 5실,행복관 - 6실,,,,,,,
부여여중,5,2반-1팀,오전,중1,중점관 - 4실,엄마사랑 분식 천국,놀이터 - 3실,미래관 - 5실,,,,,,,
부여여중,5,2반-2팀,오전,중1,행복관 - 2실,엄마사랑 분식 천국,온수업관 - 5실,놀이터 - 1실,,,,,,,
부여여중,5,2반-3팀,오전,중1,온수업관 - 4실,엄마사랑 분식 천국,놀이터 - 1실,미래관 - 7실,,,,,,,
부여여중,5,2반-4팀,오전,중1,중점관 - 2실,엄마사랑 분식 천국,놀이터 - 1실,미래관 - 7실,,,,,,,
부여여중,5,2반-5팀,오전,중1,미래관 - 6실,엄마사랑 분식 천국,온수업관 - 5실,온수업관 - 4실,,,,,,,
부여여중,5,4반-1,오전,중1,미래관 - 3실,엄마사랑 분식 천국,놀이터 - 3실,행복관 - 4실,,,,,,,
부여여중,5,4반-2,오전,중1,놀이터 - 7실,미래관 - 4실,온수업관 - 4실,엄마사랑 분식 천국,,,,,,,
부여여중,5,4반-3,오전,중1,놀이터 - 7실,미래관 - 6실,온수업관 - 4실,엄마사랑 분식 천국,,,,,,,
부여여중,5,4반-5,오전,중1,놀이터 - 8실,온수업관 - 4실,미래관 - 4실,엄마사랑 분식 천국,,,,,,,
부여여중,5,4반-4,오전,중1,미래관 - 6실,온수업관 - 4실,놀이터 - 4실,엄마사랑 분식 천국,,,,,,,
부여여중,5,1반-1팀,오전,중1,기초관 - 1실,온수업관 - 4실,놀이터 - 7실,엄마사랑 분식 천국,,,,,,,
부여여중,5,1반-2팀,오전,중1,행복관 - 2실,엄마사랑 분식 천국,온수업관 - 1실,행복관 - 3실,,,,,,,
부여여중,5,1반-3팀,오전,중1,행복관 - 6실,놀이터 - 6실,온수업관 - 4실,엄마사랑 분식 천국,,,,,,,
부여여중,5,1반-4팀,오전,중1,엄마사랑 분식 천국,행복관 - 2실,놀이터 - 3실,행복관 - 3실,,,,,,,
